banco.registros,Nahcanlambil ta hun
banco.initialDate,Shachi'bal sc'ahc'alel
banco.finalDate,Slaji'bal sc'ahc'alel
banco.fechas,Slehel ta cacaj sc'ac'alel
banco.buscar,Slehel
banco.tot_prev,Jaye'b ay cu'un spisil ta shachi'bal
pmenu.carteras,Betiletic
carteras.title,Betiletic
carteras.fechas,Sc'ahc'alel
carteras.totales,Ta spisil betiletic
carteras.vigentes,Majambil taqu'in ay ta sc'ahc'alel
carteras.vencidos,Majambil taqu'in c'axemix ta sc'ahc'alel
carteras.total_vigentes,Ay ta scahc'alel betiletic
carteras.total_vencidos,Ca'xemix ta sc'ahc'alel betiletic
carteras.num_vigentes,Majambil taqu'in ay ta sc'ahc'alel
carteras.num_vencidos,Majambil taqu'in c'axemix ta sc'ahc'alel
bancoForm.sinReferenciaAlert,Ma'yuquic tsihbabil ochel yich'abul yahtalul
bancoForm.noCoincideAlert!!!,Te yich'abul yahtalul XXXXX ma'ba ya stsac sbah soc te tsahbil ZZZZZZZ
bancoForm.diferentesAlert,Te yich'abul yahtalul ma'ba ya stsac sbah soc binut'il chahpambil ta ha' nix
registro.id,#
registro.fecha,Sc'ahc'alel
registro.referencia_banco,Yich'abul yahtalul squ'ejojibal taqu'in
registro.referencia_alf,Yich'abul yahtalul ta cajal caj
registro.fecha_captura,Sc'ahca'lel stsihbayel ochel
registro.usuario,Mach'a ya stuquin
registro.subcuenta_id,Stsahlal yahtalul ca'teltic
registro.subcuenta_nombre,Sbihil stsahlal yahtalul ca'teltic 
registro.banco_cuenta,Yahtalul ca'teltic
registro.banco_nombre,Snahul squ'ejohbil taqu'in
registro.relacion_sistema,Bintic ay yu'un schahplejal a'telil
registro.cantidad,Hich yipal
registro.ingr_egr,Ochem talel/Loc' bahel
registro.aport_retiro,Yaqu'el tso'bil taqu'in/Sloqu'esel
registro.pago,#Stojel
registro.ej_credito,#Majambil taqu'in
bancos.selectedRegistro,Nahcambil ta hun
movimientos.buscarGrupo,Slehel ta jujun wohc'
movimiento.nombre_socio,Bihililetic
movimiento.fecha_entrega,Sc'ahc'alel yaqu'el
movimiento.monto,Jaye'b
movimiento.aportacion,Yaqu'el tso'bil taqu'in/Sloqu'esel
movimiento.proceso,Jchahp a'tel
movimiento.tipo_de_movimiento,Yantic ta chahp syuqu'el a'telil
referencia_banco,Yich'abul yahtalul squ'ejojibal taqu'in
pmenu.subcuentas,Stsahlal yahtalul ca'teltic
pmenu.mapas,Sloc'ombah spahmal bahlumilal
procesos,Jchahp a'teliletic
mapa.vigentes,Ay ta sc'ahc'alel
mapa.lt30,C'axem ta sc'ahc'alel te ma' stah lajune'b scha'winic c'ahc'al
mapa.bt30to6M,C'axemix ta sc'ahc'alel lajune'b scha'winic c'ahc'al soc ma' stah waque'b uh
mapa.gt6M,C'axemix ta sc'ahc'alel waque'b uh
mapa.regionVerde,Jsehp squ'inalel te ha'nax ay majambil taqu'in ay ta sc'ahc'alel
mapa.regionAmarilla,"Jsehp squ'inalel te bayelto hay ta sc'ahc'alel,"
mapa.regionRoja,Jsehp squ'inalel te bayel c'axemix ta sc'ahc'alel
mapa.regionGris,Jsehp squ'inalel banti ma'yuc majambil taqu'in
subcuentas.title,Stsahlal yahtalul ca'teltic ta schahpanel ahtaletic
editarDatosBancarios,xcha' pasel bintic ay ta yutil squ'ejojbil taqu'in
nombre_region,Jsehp squ'inalel
nombre_comunidad,Comonal
mesaControl.infoDelCredito,Sna'beyel sc'oblal smajanel taqu'in
evaluacion.infoDeSoporte,Sna'beyel sc'oblal yu'un sc'asesel shunal c'anbajel
socioForm.doc_rfc,Sloc'ol shunal RFC
solicitudForm.justificacion_credito_placeholder,"Tsihbaya li'i binti at'elil soc banti ya xtuquin a wu'un te smajanel taqu'in, te chican ya xhil ta aiyel."
tsumbalil.ermitas,Ch'ul nahetic
ermita,Ch'ul nah
zona,Squ'inalel jwohc' muc'ul tso'blej
interzona,Stsahlalul squ'inal muc'ul tso'blej
municipio,Stsahlalul squ'inalel
localidad,INEGI
inegiLocalidad,INEGI
ermita.ermita_id,#
ermita.nombre,Sbihil ch'ul nah
ermita.zona,Squ'inalel jwohc' muc'ul tso'blej
ermita.interzona,Stsahlalul squ'inal muc'ul tso'blej
ermita.municipio,Stsahlalul squ'inalel
ermita.localidad,Banti ay ta INEGI
ermita.localidad_nota,Ts'ihbabil banti ay ta INEGI
